"Weekly","Spots","Mean","Median","Sd","Count"
1930-03-23,15,2.14285714285714,2,2.85356919363403,7
1930-03-30,40,5.71428571428571,7,3.03942350423485,7
1930-04-06,37,5.28571428571429,5,2.36038737740833,7
1930-04-13,30,4.28571428571429,5,2.49761791275112,7
1930-04-20,22,3.14285714285714,2,3.18478525851542,7
1930-04-27,43,6.14285714285714,7,1.57359158493889,7
1930-05-04,23,3.28571428571429,2,3.40168025708304,7
1930-05-11,30,4.28571428571429,3,3.30223589477825,7
1930-05-18,23,3.28571428571429,2,1.60356745147455,7
1930-05-25,30,4.28571428571429,3,3.03942350423485,7
1930-06-01,42,6,7,1.91485421551268,7
1930-06-08,35,5,7,3.2659863237109,7
1930-06-15,31,4.42857142857143,5,1.51185789203691,7
1930-06-22,32,4.57142857142857,3,2.29906813420444,7
1930-06-29,35,5,7,3.2659863237109,7
1930-07-06,25,3.57142857142857,5,2.69920623252731,7
1930-07-13,25,3.57142857142857,3,3.20713490294909,7
1930-07-20,32,4.57142857142857,5,1.98805959477601,7
1930-07-27,42,6,7,2.82842712474619,7
1930-08-03,32,4.57142857142857,3,2.93582145558064,7
1930-08-10,35,5,5,2.08166599946613,7
1930-08-17,43,6.14285714285714,7,2.54483604112141,7
1930-08-24,33,4.71428571428571,3,3.09377254681539,7
1930-08-31,23,3.28571428571429,3,3.14718316987777,7
1930-09-07,45,6.42857142857143,7,1.39727626201154,7
1930-09-14,30,4.28571428571429,3,3.30223589477825,7
1930-09-21,26,3.71428571428571,3,3.14718316987777,7
1930-09-28,16,2.28571428571429,3,1.79947082168487,7
1930-10-05,36,5.14285714285714,5,2.85356919363403,7
1930-10-12,24,3.42857142857143,3,3.10145895008263,7
1930-10-19,41,5.85714285714286,7,3.13201593379149,7
1930-10-26,32,4.57142857142857,5,2.69920623252731,7
1930-11-02,29,4.14285714285714,3,2.34012616672488,7
1930-11-09,19,2.71428571428571,3,2.05866345916355,7
1930-11-16,22,3.14285714285714,3,1.95180014589707,7
1930-11-23,21,3,2,2.94392028877595,7
1930-11-30,31,4.42857142857143,5,1.98805959477601,7
1930-12-07,25,3.57142857142857,3,2.63673679998231,7
1930-12-14,27,3.85714285714286,3,3.18478525851542,7
1930-12-21,30,4.28571428571429,5,3.14718316987777,7
1930-12-28,17,2.42857142857143,2,2.07019667802706,7
1931-01-04,32,4.57142857142857,5,3.64495737776374,7
1931-01-11,37,5.28571428571429,5,2.21466970556828,7
1931-01-18,28,4,5,3.2659863237109,7
1931-01-25,18,2.57142857142857,2,2.69920623252731,7
1931-02-01,31,4.42857142857143,5,3.50509832753866,7
1931-02-08,36,5.14285714285714,5,2.54483604112141,7
1931-02-15,42,6,7,2.3094010767585,7
1931-02-22,32,4.57142857142857,3,2.63673679998231,7
1931-03-01,31,4.42857142857143,5,2.50713268211203,7
1931-03-08,28,4,3,2.16024689946929,7
1931-03-15,37,5.28571428571429,5,2.21466970556828,7
1931-03-22,29,4.14285714285714,3,2.34012616672488,7
1931-03-29,37,5.28571428571429,5,2.21466970556828,7
1931-04-05,34,4.85714285714286,5,2.85356919363403,7
1931-04-12,25,3.57142857142857,3,2.8784916685157,7
1931-04-19,32,4.57142857142857,3,2.50713268211203,7
1931-04-26,29,4.14285714285714,3,3.02371578407382,7
1931-05-03,30,4.28571428571429,3,2.56347977784662,7
1931-05-10,26,3.71428571428571,3,2.56347977784662,7
1931-05-17,36,5.14285714285714,7,3.13201593379149,7
1931-05-24,29,4.14285714285714,3,2.67261241912424,7
1931-05-31,19,2.71428571428571,2,3.14718316987777,7
1931-06-07,28,4,3,2.94392028877595,7
1931-06-14,9,1.28571428571429,0,2.62769136406122,7
1931-06-21,5,0.714285714285714,0,1.25356634105602,7
1931-06-28,42,6,7,2.76887462097269,7
1931-07-05,35,5,7,3.2659863237109,7
1931-07-12,21,3,3,2.44948974278318,7
1931-07-19,18,2.57142857142857,3,2.37045304088641,7
1931-07-26,38,5.42857142857143,7,3.25868802112869,7
1931-08-02,34,4.85714285714286,7,3.13201593379149,7
1931-08-09,9,1.28571428571429,0,1.60356745147455,7
1931-08-16,28,4,3,3.36650164612069,7
1931-08-23,8,1.14285714285714,0,1.4638501094228,7
1931-08-30,23,3.28571428571429,3,2.62769136406122,7
1931-09-06,26,3.71428571428571,3,3.40168025708304,7
1931-09-13,33,4.71428571428571,5,2.21466970556828,7
1931-09-20,34,4.85714285714286,7,2.67261241912424,7
1931-09-27,43,6.14285714285714,7,1.86445447147161,7
1931-10-04,17,2.42857142857143,2,2.07019667802706,7
1931-10-11,13,1.85714285714286,2,1.95180014589707,7
1931-10-18,20,2.85714285714286,3,2.54483604112141,7
