year,month,day,R,Vis
1933,8,10,7.19999999552965,0.9
1933,8,30,7.19999999552965,0.6
1933,10,2,4.80000000447035,0.6
1933,10,3,7.19999999552965,0.4
1933,10,19,7.19999999552965,0.8
1933,10,28,2.40000000223517,0.4
1933,10,30,2.40000000223517,0.5
1933,11,11,2.40000000223517,0.8
1933,11,21,2.40000000223517,1.1
1933,11,24,2.40000000223517,1.2
1933,12,2,2.40000000223517,0.7
1933,12,10,11.2800000049174,0.7
1933,12,17,2.40000000223517,1.1
1933,12,17,14.4000000022352,0.7
1933,12,18,2.40000000223517,1
1933,12,18,10.8000000044703,0.7
1933,12,21,2.40000000223517,1
1933,12,28,2.40000000223517,1.1
1933,12,30,2.40000000223517,1.2
1933,1,8,16.8000000044703,0.3
1933,1,19,2.40000000223517,1.1
1933,1,22,2.40000000223517,1.1
1933,1,24,12,0.3
1933,2,13,8.88000000268221,0.2
1933,2,15,12,0.1
1933,2,17,8.88000000268221,0.3
1934,2,17,19.1999999955297,0.3
1934,2,20,12,0.1
1934,2,23,9.11999999731779,0.3
1934,2,28,4.80000000447035,0.4
1934,3,1,12,0.1
1934,3,2,8.63999999687076,0.3
1934,3,10,19.1999999955297,0.2
1934,3,14,4.80000000447035,0.3
1934,3,16,4.80000000447035,0.4
1934,3,22,7.19999999552965,0.2
1934,3,23,7.92000000178814,0.4
1934,3,24,2.40000000223517,0.5
1934,3,26,2.40000000223517,0.6
1934,4,14,12,0.1
1934,4,17,7.19999999552965,0.5
1934,4,20,6.96000000089407,0.6
1934,4,24,9.59999999776483,0.1
1934,8,21,2.40000000223517,0.6
1934,8,29,19.1999999955297,0.5
1934,9,15,2.40000000223517,1
1934,9,27,19.1999999955297,0.6
1934,12,11,0,0.5
1934,12,19,12,0.3
1934,12,21,0,0.6
1934,12,24,14.4000000022352,0.3
1934,1,5,19.1999999955297,0.6
1934,1,18,19.1999999955297,0.8
1934,2,4,12,0.3
1934,2,5,19.1999999955297,0.8
1934,2,12,19.1999999955297,0.6
1934,2,13,12,0.3
1935,3,2,19.1999999955297,0.9
1935,3,13,9.59999999776483,0.4
1935,3,16,19.1999999955297,0.7
1935,4,9,9.59999999776483,0.3
1935,4,15,19.1999999955297,0.8
1935,4,16,9.59999999776483,0.2
1935,5,3,9.59999999776483,0.2
1935,5,12,9.59999999776483,0.2
1935,5,22,9.59999999776483,0.1
1935,9,7,4.80000000447035,1
1935,9,17,4.80000000447035,0.9
1935,10,12,0,0.9
1935,10,26,7.19999999552965,0.7
1935,11,6,0,0.9
1935,11,9,0,0.9
1935,11,12,11.7600000053644,0.7
1935,11,14,12,1.1
1935,11,28,0,0.8
1935,12,2,10.8000000044703,0.8
1935,12,4,12,1.2
1935,12,6,4.80000000447035,0.9
1935,12,11,4.80000000447035,1.1
1935,12,12,12,1.1
1935,12,16,0,0.9
1935,12,31,0,0.9
1935,1,3,12,1.1
1935,1,10,0,1.1
1935,1,10,12,1.1
1935,1,22,21.5999999977648,1
1935,1,31,9.59999999776483,0.4
1935,2,2,12,0.8
1935,2,2,21.5999999977648,1.1
1935,2,3,4.80000000447035,0.6
1935,2,7,12,0.7
1935,2,18,0,0.9
1935,2,19,0,0.9
1935,2,20,0,0.9
1935,2,20,0,0.9
1935,2,21,0,0.9
1935,2,21,0,1
1935,2,21,7.19999999552965,0.4
1935,2,24,21.5999999977648,0.7
1935,2,26,12,0.3
1935,2,28,0,0.8
1935,2,28,2.40000000223517,1
1935,3,1,2.40000000223517,0.9
1935,3,1,4.80000000447035,0.8
1935,3,3,21.5999999977648,0.7
1935,3,4,0,0.8
1935,3,4,19.1999999955297,0.8
1935,3,5,4.80000000447035,0.5
1935,3,6,19.1999999955297,0.8
1935,3,7,9.59999999776483,0.4
1935,3,8,4.80000000447035,0.5
1935,3,9,0,0.9
1935,3,9,4.80000000447035,0.7
1935,3,12,19.1999999955297,0.7
1935,3,13,19.1999999955297,0.7
1935,3,16,2.40000000223517,0.8
1935,3,16,2.40000000223517,0.8
1935,3,19,21.5999999977648,0.7
1935,3,20,19.1999999955297,0.6
1935,3,22,19.1999999955297,0.7
1935,3,23,0,0.9
1935,3,23,2.40000000223517,0.8
1935,3,23,19.1999999955297,0.7
1935,3,25,0,0.8
1935,3,25,19.1999999955297,0.7
1935,3,26,19.1999999955297,0.6
1935,3,27,0,0.8
1935,3,27,2.40000000223517,0.9
1935,3,28,19.1999999955297,0.6
1935,3,30,19.1999999955297,0.6
1935,4,1,19.1999999955297,0.6
1935,4,3,2.40000000223517,0.8
1935,4,3,19.1999999955297,0.6
1935,4,4,0,0.9
1935,4,4,2.40000000223517,0.8
1935,4,4,19.1999999955297,0.6
1935,4,5,19.1999999955297,0.7
1935,4,5,19.1999999955297,0.6
1935,4,6,19.1999999955297,0.6
